1,0.728,3.755,8.868
2,0.297,3.743,9.318
3,-0.108,3.461,10.276
4,-0.635,3.118,10.456
5,-0.282,3.26,10.106
6,-0.256,3.779,9.447
7,-0.39,4.119,9.16
8,-0.309,4.222,9.507
9,-0.23,4.361,9.229
10,-0.306,4.646,8.588
11,-0.28,4.816,8.259
12,-0.366,4.527,8.647
13,-0.4,4.222,9.735
14,-0.029,4.031,10.724
15,0.273,4.08,10.645
16,0.161,4.292,9.014
17,-0.314,4.345,7.704
18,-1.03,4.162,7.476
19,-1.444,3.992,7.694
20,-1.164,4.162,8.437
21,-0.493,4.495,8.628
22,-0.486,4.828,7.814
23,-1.185,4.706,7.184
24,-1.657,4.663,7.574
25,-1.753,4.773,8.111
26,-1.461,5.104,8.204
27,-0.656,5.307,8.564
28,-0.304,5.269,8.911
29,-0.383,5.147,9.591
30,-0.493,5.216,10.08
31,-0.572,5.14,10.614
32,-0.266,4.855,10.683
33,0.101,5.029,9.828
34,0.575,5.068,10.257
35,0.671,4.534,10.932
36,-0.287,4.153,10.329
37,-0.503,3.997,9.917
38,0.268,3.894,10.211
39,1.094,3.763,10.896
40,1.518,3.545,11.347
41,1.077,3.504,10.389
42,0.668,3.324,9.009
43,0.895,3.157,8.094
44,1.664,3.274,7.553
45,2.694,3.468,7.699
46,2.718,3.432,7.435
47,1.752,3.267,6.511
48,0.716,3.123,6.454
49,0.168,3.03,7.632
50,0.352,3.193,8.367
51,0.877,3.42,8.257
52,1.302,3.669,7.788
53,1.575,3.959,7.309
54,1.498,4.162,7.246
55,1.271,4.213,7.055
56,1,4.333,7.153
57,0.723,4.409,7.529
58,0.647,4.57,8.043
59,0.575,4.773,9.071
60,0.479,5.022,9.799
61,0.391,5.346,9.811
62,0.228,5.53,9.912
63,0.256,5.336,10.944
64,0.381,5.214,12.067
65,0.494,5.42,12.755
66,0.474,5.7,12.01
67,0.436,5.985,9.869
68,0.24,5.916,8.825
69,0.091,5.401,9.49
70,0.446,4.663,10.741
71,0.907,3.674,12.264
72,0.678,2.987,13.351
73,0.079,3.025,11.653
74,-0.5,3.339,8.592
75,-1.274,3.523,6.995
76,-1.818,3.71,6.691
77,-1.983,3.569,7.213
78,-0.886,3.521,7.871
79,0.532,3.877,8.645
80,1.235,4.155,7.96
81,0.779,4.237,6.751
82,-0.127,3.983,6.894
83,-0.39,3.545,7.768
84,-0.167,3.363,9.019
85,0.153,3.578,9.004
86,0.137,4.019,7.555
87,-0.4,4.115,7.083
88,-0.704,4.127,7.517
89,-0.685,4.263,7.936
90,-0.156,4.555,8.238
91,0.539,4.991,8.482
92,0.855,5.396,8.645
93,0.74,5.427,8.7
94,0.448,5.346,8.743
95,0.031,5.02,9.651
96,-0.328,4.946,10.693
97,-0.383,5.214,10.985
98,0.587,5.614,9.653
99,1.791,5.784,9.366
100,1.913,4.795,10.563
101,1.321,3.535,12.005
102,0.623,2.836,13.291
103,-0.012,2.809,12.946
104,0.163,3.142,10.499
105,1.098,3.657,7.984
106,1.973,3.719,6.88
107,1.891,3.269,7.129
108,1.613,2.965,7.507
109,1.652,2.97,7.412
110,1.733,3.173,7.421
111,1.647,3.161,7.596
112,0.924,2.979,7.527
113,0.173,2.85,6.798
114,-0.122,3.094,5.998
115,-0.256,3.466,5.711
116,-0.445,3.628,6.006
117,-0.651,3.806,6.727
118,-0.718,4.16,7.184
119,-0.426,5.008,6.784
120,0.585,5.695,6.858
121,1.297,5.889,8.271
122,0.414,5.554,10.765
123,-0.239,5.164,12.012
124,-0.055,5.14,12.791
125,0.153,4.867,14.098
126,0.079,4.766,13.967
127,-0.098,4.905,13.085
128,0.036,5.053,12.221
129,0.106,5.252,11.509
130,0.422,5.358,11.402
131,0.637,4.713,12.247
132,0.62,3.511,13.469
133,0.355,2.721,13.974
134,-0.1,2.558,11.426
135,-0.469,2.749,7.974
136,-1.147,2.67,7.002
137,-1.822,2.345,6.921
138,-1.825,2.302,6.408
139,-0.594,2.529,6.233
140,0.707,2.551,7.584
141,1.027,2.357,9.723
142,0.379,2.175,9.038
